diagnostic_id,conclusion,stability_score,finding,condition,baseline,effect_value,delta,ci_lower,ci_upper,p_perm,p_adj,effect_d,stability,n_obs,recommendation
d11,negative,0.5,Asian 15m mean return,session=Asian,3.334190135086563e-07,-2.9074415497483275e-06,-3.240860563256984e-06,-1.2096805143165403e-05,2.7545574730217415e-05,3.48953216658506e-07,3.48953216658506e-07,-0.0033994770445269695,0.5,108353,Ignore
d11,negative,0.5,Asian 60m mean return,session=Asian,1.406113876440838e-06,-1.04520663198233e-05,-1.1858180196264137e-05,-5.0195738581878745e-05,4.6628546991723497e-05,2.5584246402149276e-19,2.5584246402149276e-19,-0.006217102862090517,0.5,108353,Ignore
d11,negative,0.5,Asian 4h mean return,session=Asian,5.015070659856126e-06,-3.503175472754455e-05,-4.0046825387400675e-05,-6.443709937787945e-05,4.8653724737874995e-05,4.188293275646429e-142,4.188293275646429e-142,-0.0100719162123155,0.5,108353,Ignore
d11,negative,0.5,London 15m mean return,session=London,3.334190135086563e-07,1.371667502187175e-05,1.3383256008363092e-05,-1.0773119097658395e-05,6.0698539755070345e-05,0.0,0.0,0.012375088607291591,0.5,77395,Ignore
d11,negative,0.5,London 60m mean return,session=London,1.406113876440838e-06,4.5331292464702863e-05,4.392517858826203e-05,-4.60067729245911e-05,0.00011436140854193766,0.0,0.0,0.020215636029639102,0.5,77395,Ignore
d11,negative,0.5,London 4h mean return,session=London,5.015070659856126e-06,0.00010049954758138181,9.548447692152568e-05,-4.6900881922621075e-05,0.00023969023512075303,7.6e-322,7.6e-322,0.023055138886048356,0.5,77395,Ignore
d11,negative,0.5,NY 15m mean return,session=NY,3.334190135086563e-07,3.35618577581379e-06,3.022766762305134e-06,-9.55499469658985e-06,2.7245871462851413e-05,5.741509453404963e-42,5.741509453404963e-42,0.0031167998279001143,0.5,75112,Ignore
d11,negative,0.5,NY 60m mean return,session=NY,1.406113876440838e-06,2.2440281106049993e-05,2.1034167229609154e-05,-3.5395650657577576e-05,6.33995209381422e-05,3.94870970013784e-104,3.94870970013784e-104,0.010925772769270911,0.5,75067,Ignore
d11,negative,0.5,NY 4h mean return,session=NY,5.015070659856126e-06,5.515663964134892e-05,5.0141568981492794e-05,8.538073403785483e-06,7.577685281411485e-05,0.0,0.0,0.013492782169964019,0.5,74887,Ignore
d01,negative,0.5,Asianâ†’London continuation,all Asian sessions,0.5,0.5232558139534884,0.023255813953488413,0.4573643410852713,0.5813953488372093,0.8120888065100988,0.8120888065100988,0.06572090223661817,0.5,258,Ignore
d01,negative,0.5,Asianâ†’London cont (high DE prior),Asian DE > 0.65,0.5232558139534884,0.48,-0.04325581395348843,0.3466666666666667,0.5733333333333334,0.6275,1.0,-0.08950991467661125,0.5,75,Ignore
d01,negative,0.5,Londonâ†’NY continuation,all London sessions,0.5,0.46511627906976744,-0.034883720930232565,0.3992248062015504,0.5193798449612403,0.6360148629459508,0.6360148629459508,-0.09871520454129334,0.5,258,Ignore
d01,negative,0.5,Londonâ†’NY cont (high DE prior),London DE > 0.65,0.46511627906976744,0.6129032258064516,0.1477869467366842,0.46774193548387094,0.7258064516129032,0.007,1.0,0.4642975761024669,0.5,62,Monitor
d01,negative,0.5,Asianâ†’NY continuation,all Asian sessions,0.5,0.5155038759689923,0.015503875968992276,0.4496124031007752,0.5697674418604651,0.612797520623455,0.612797520623455,0.04378757264704093,0.5,258,Ignore
d01,negative,0.5,Asianâ†’NY cont (high DE prior),Asian DE > 0.65,0.5155038759689923,0.4666666666666667,-0.0488372093023256,0.3466666666666667,0.5733333333333334,0.258,1.0,-0.1914062144917937,0.5,75,Ignore
